label,content
scam,"Subject: [INTERNAL] Quy định mới về chấm công từ 01/06\n\nChào mọi người, phòng HCNS đã cập nhật lại mẫu bảng chấm công mới áp dụng cho tháng này. Mọi người tải về tại link: drive.google.com-internal-share.com/file/view/bang-cham-cong-moi.rar và cài đặt plugin đính kèm để hệ thống tự động đồng bộ. Ai chưa update sẽ bị trừ lương nhé."
scam,"Subject: Thông báo xác thực lại thông tin thẻ hội viên VinID\n\nChào quý khách, hệ thống ghi nhận thẻ VinID của quý khách có dấu hiệu truy cập bất thường từ thiết bị lạ. Vui lòng truy cập https://vinid-security-update.com để xác nhận lại thông tin cá nhân và bảo mật thẻ, nếu không thẻ sẽ bị vô hiệu hóa vĩnh viễn."
scam,"Subject: Update đơn hàng #88291 - Yêu cầu xác nhận địa chỉ giao hàng\n\nAnh Khôi ơi, bên em là bộ phận điều phối của Giao Hàng Tiết Kiệm đây ạ. Đơn hàng của anh đang gặp vấn đề về địa chỉ nhận. Anh vui lòng nhấn vào đây để cập nhật lại vị trí trên bản đồ giúp shipper nhé: https://ghtk-ship-verify.site/update-address."
scam,"Subject: Thông báo hoàn tiền thuế thu nhập cá nhân\n\nChào bạn, dựa trên hồ sơ quyết toán năm 2025, bạn thuộc diện được hoàn lại khoản thuế 1.250.000đ. Vui lòng điền thông tin tài khoản ngân hàng để nhận tiền qua cổng thanh toán điện tử quốc gia: https://hoan-thue-tncn.online."
scam,"Subject: FW: Tài liệu dự án hợp tác quý 3\n\nAnh, em gửi lại danh mục các vật tư cần mua gấp cho dự án sắp tới. Anh check file này rồi phản hồi giúp em xem có điều chỉnh gì không nhé. Link truy cập server nội bộ: https://file-storage-company-vn.com/project-q3. Password là mã nhân viên của anh."
scam,"Subject: Lời mời tham gia khảo sát nhận quà từ khảo sát thị trường\n\nBạn là người may mắn được chọn tham gia khảo sát về trải nghiệm tiêu dùng. Chỉ cần bỏ ra 2 phút trả lời 5 câu hỏi đơn giản, bạn sẽ nhận được mã thẻ điện thoại trị giá 200k. Link khảo sát tại đây: https://survey-rewards-vietnam.net."
scam,"Subject: Thông báo tạm ngưng dịch vụ internet do quá hạn cước\n\nChào quý khách, hệ thống báo đường truyền mạng nhà bạn đang nợ cước 2 tháng. Vui lòng thanh toán ngay tại link: pay.vnpt-telecom-support.com để tránh bị cắt mạng vào 12h đêm nay."
scam,"Subject: Hồ sơ ứng tuyển vị trí Backend Developer - [Nguyen Van Khoi]\n\nChào anh, em là Hùng từ Team Tuyển dụng TechCorp. Em thấy hồ sơ của anh rất tiềm năng. Mời anh xem chi tiết mô tả công việc và mức lương tại file đính kèm: offer-letter-techcorp-signed.exe. Nếu phù hợp, anh reply lại cho em sớm nhé."
scam,"Subject: Xác nhận thay đổi thông tin liên lạc tài khoản MoMo\n\nChào bạn, tài khoản MoMo của bạn vừa thực hiện yêu cầu thay đổi số điện thoại liên kết. Nếu không phải bạn thực hiện, vui lòng nhấn vào đây để hủy bỏ yêu cầu ngay lập tức: https://momo-security-alert.vn/cancel-request."
scam,"Subject: Cập nhật hợp đồng dịch vụ tháng 6\n\nChào anh Khoi,\n\nBên em đã hoàn tất điều chỉnh hợp đồng theo góp ý của anh. Anh vui lòng ký xác nhận qua link và chuyển khoản phần còn lại là 28 triệu.\n\nhttps://contract.docusign.vn/sign/HD20260528\n\nTrân trọng,\nLê Văn Bình - Sales Manager"
scam,"Subject: [Alert] Tài khoản Momo bị khóa tạm thời\n\nAnh Khoi,\n\nTài khoản MoMo của anh đang bị nghi ngờ giao dịch bất thường. Vui lòng xác thực ngay để mở khóa trước 23:59 hôm nay.\n\nXác thực: momo.vn/verify-account"
scam,"Subject: Re: Báo cáo chi phí dự án Q2\n\nKính gửi anh Khoi,\n\nEm gửi file Excel báo cáo chi phí mới nhất. Anh kiểm tra và phản hồi trước 5h chiều để em nộp cho ban lãnh đạo.\n\nCảm ơn anh.\n\nVũ Thị Mai - Kế toán dự án"
scam,"Subject: Thông báo nhận thưởng Tết thiếu nhi từ công ty\n\nAnh Khoi thân mến,\n\nCông ty gửi tặng anh voucher 2 triệu đồng nhân dịp 1/6. Nhấn nhận thưởng ngay.\n\nhttps://bonus.internalcompany.vn/receive"
scam,"Subject: Yêu cầu bổ sung giấy tờ hải quan\n\nKính gửi Quý khách Khoi,\n\nLô hàng nhập khẩu của Anh đang bị giữ tại cửa khẩu. Vui lòng cung cấp thêm bản scan CMND và hóa đơn để chúng tôi thông quan.\n\nCustoms Support - VietPost"
scam,"Subject: Fwd: Thanh toán hóa đơn điện tháng 5\n\nChào anh,\n\nHóa đơn tiền điện nhà anh tháng 5 là 1.850.000đ. Anh chuyển khoản giúp em theo thông tin mới bên dưới để tránh bị cắt điện.\n\nSTK: 987654321 - EVN Power"
scam,"Subject: Lời mời hợp tác kinh doanh từ đối tác Singapore\n\nKính gửi Anh Khoi,\n\nChúng tôi là công ty LogiTech Singapore muốn hợp tác phân phối sản phẩm. Anh xem proposal đính kèm và sắp xếp cuộc gọi nhé.\n\nBest regards,\nDavid Tan"
scam,"Subject: [HR Urgent] Cập nhật thông tin bảo hiểm y tế\n\nAnh Khoi,\n\nNhân viên cần cập nhật thông tin sức khỏe trước ngày 31/05. Anh click vào link để khai báo online.\n\nhttps://baohiem.nhan su.vn/update"
scam,"Subject: Xác nhận địa chỉ nhận quà từ Tiki\n\nChào anh Khoi,\n\nĐơn hàng quà tặng của anh đã sẵn sàng giao. Xác nhận địa chỉ để chúng tôi giao trong 24h.\n\ntiki.vn/confirm-address/ORD-556677"
scam,"Subject: Re: Vấn đề server bị chậm\n\nChào anh,\n\nEm từ đội IT đã kiểm tra. Anh cần reset mật khẩu server theo link này để khắc phục lỗi.\n\nhttps://it-support.viettech.vn/reset-password"
scam,"Subject: Thông báo hoàn tiền đơn hàng bị hủy\n\nAnh Khoi,\n\nĐơn hàng #ORD998877 của anh đã bị hủy. Số tiền 4.250.000đ sẽ được hoàn vào tài khoản. Vui lòng cung cấp số tài khoản nhận tiền.\n\nShopee Refund Team"
scam,"Subject: [BEC] Yêu cầu chuyển khoản khẩn cấp\n\nChào anh Khoi,\n\nSếp em đang họp ngoài nên nhờ anh chuyển gấp 85 triệu cho nhà cung cấp theo thông tin mới. Đây là yêu cầu khẩn.\n\nSTK: 1122334455 - TechSupply Ltd\n\nCảm ơn anh.\n\nTrợ lý CEO"
scam,"Subject: Đề nghị xác nhận hóa đơn dịch vụ Cloud Hosting\n\nChào bạn, hóa đơn tháng 5 cho dịch vụ vps-cloud-premium của bạn chưa được thanh toán thành công. Để tránh gián đoạn hệ thống, vui lòng đăng nhập vào bảng điều khiển tại portal.cloud-hosting-vn.com/invoice/pay để thực hiện thanh toán bổ sung trước 5 giờ chiều nay."
scam,"Subject: [KHẨN CẤP] Thay đổi thông tin nhận lương tháng này\n\nCác bạn ơi, do bên ngân hàng đang bảo trì hệ thống nên lương tháng này sẽ chuyển qua stk mới. Các bạn cập nhật lại thông tin tài khoản nhận lương theo file đính kèm này giúp mình nhé: https://files.hr-management-portal.com/payroll-update. Mọi người làm gấp trước 10h sáng để kế toán kịp xử lý."
scam,"Subject: Thông báo từ hệ thống xác thực Visa\n\nGiao dịch thanh toán trị giá 12.000.000đ tại Apple Store đã được thực hiện bằng thẻ Visa của bạn. Nếu đây không phải là giao dịch của bạn, vui lòng truy cập ngay https://visa-verify-security.com/report-fraud để khóa thẻ khẩn cấp và bảo vệ số dư."
scam,"Subject: Thư mời phỏng vấn - Vị trí System Admin\n\nChào Khôi, bên mình đã xem qua CV của bạn và rất ấn tượng. Mời bạn tham gia buổi phỏng vấn trực tuyến qua phần mềm Zoom. Bạn vui lòng tải bộ tài liệu hướng dẫn phỏng vấn và cài đặt phần mềm tại đây: https://join-zoom-meeting.net/interview-kit. Password giải nén: 123456."
scam,"Subject: Thông báo thu phí bảo trì hạ tầng từ ban quản lý\n\nKính gửi cư dân, để phục vụ việc bảo trì hệ thống thang máy và PCCC, BQL yêu cầu mỗi căn hộ đóng góp khoản phí 500k. Vui lòng chuyển khoản vào số tài khoản: 098xxxxxx (Techcombank - BQL Chung Cu). Nội dung chuyển khoản: [SoPhong] [PhiBaoTri]."
scam,"Subject: [Security Alert] Phát hiện đăng nhập lạ vào tài khoản Email\n\nHệ thống phát hiện một lượt đăng nhập trái phép vào tài khoản của bạn từ thiết bị iPhone 15 tại Hà Nội. Nếu không phải bạn, hãy truy cập ngay https://login-security-check.com để xác thực lại mật khẩu và bảo mật hai lớp."
scam,"Subject: Đơn hàng hoàn tiền từ Shopee do sự cố giao hàng\n\nChào bạn, đơn hàng của bạn bị hủy do shipper gặp sự cố. Để nhận lại tiền hoàn, vui lòng quét mã QR này và nhập thông tin thẻ để hệ thống chuyển hoàn tự động: [Attached_Image_QR_Code]. Lưu ý: Mã này chỉ có hiệu lực trong vòng 60 phút."
scam,"Subject: Thư cảm ơn và đề nghị thanh toán bổ sung từ NCC\n\nChào anh, cảm ơn anh đã chốt đơn vật tư hôm qua. Tuy nhiên, do giá nguyên liệu đầu vào tăng đột xuất, bên em cần điều chỉnh giá trong hợp đồng mới. Anh ký xác nhận vào file này giúp em để bên em xuất hàng luôn nhé: https://docs-contract-update.com/sign-doc."
scam,Subject: Thông báo trúng giải thưởng trị giá 100 triệu\n\nChúc mừng bạn là khách hàng may mắn nhận giải nhất của chương trình quay số trúng thưởng từ thương hiệu gia dụng cao cấp. Vui lòng liên hệ trực tiếp nhân viên chăm sóc khách hàng qua Zalo: 096xxxxxxx để được hướng dẫn thủ tục nhận thưởng và nộp lệ phí hành chính.
scam,"Subject: Yêu cầu cung cấp thông tin xuất hóa đơn đỏ\n\nAnh Khôi ơi, bên kế toán cần thông tin công ty để xuất hóa đơn cho các đơn hàng cũ. Anh điền giúp em thông tin vào form này nhé: https://forms-tax-invoice-vn.com/input-company-info. Phải làm xong trước cuối tháng để kịp chốt sổ kế toán anh nhé."
scam,"Subject: [THÔNG BÁO] Hệ thống cập nhật danh mục phần mềm bản quyền\n\nChào bộ phận IT, để tuân thủ chính sách mới của công ty, yêu cầu các máy trạm phải cài đặt lại module quản lý tập trung. Vui lòng tải gói cài đặt tại địa chỉ: https://update-company-soft.net/install-agent và chạy file .exe để hoàn tất trước chiều nay, tránh việc tài khoản bị khóa quyền truy cập server."
scam,"Subject: Đơn hàng Tiki của bạn đang bị giữ tại bưu cục\n\nChào anh, kiện hàng mã #TK882910 đang gặp lỗi thông tin người nhận tại kho trung chuyển. Để hàng được giao tiếp, anh vui lòng xác nhận lại địa chỉ nhận hàng tại đường link này: https://tiki-delivery-tracking.com/verify-address. Phí giao lại là 0đ nếu xác nhận trong 2 tiếng tới."
scam,"Subject: Re: Báo giá dịch vụ vệ sinh máy lạnh định kỳ\n\nChào anh, em gửi lại file báo giá dịch vụ vệ sinh máy lạnh văn phòng như đã trao đổi qua điện thoại. Bên em đang có chương trình khuyến mãi giảm 20% nếu anh ký hợp đồng dài hạn trong tháng này. Anh xem qua file đính kèm này nhé: https://service-contract-download.com/bao-gia-v2.zip."
scam,"Subject: Thông báo ngừng cung cấp dịch vụ Cloud VPS\n\nKính gửi khách hàng, do bạn chưa thanh toán phí duy trì server tháng 05/2026, hệ thống sẽ tự động tạm dừng truy cập vào lúc 23:59 hôm nay. Để khôi phục, vui lòng thanh toán ngay tại trang quản trị: https://portal-vps-hosting-secure.vn/payment-gateway."
scam,"Subject: [HR] Thư mời tham gia buổi họp đánh giá hiệu quả quý 2\n\nChào các bạn, để chuẩn bị cho buổi họp đánh giá quý, phòng nhân sự đã soạn sẵn bảng câu hỏi khảo sát ẩn danh. Mọi người vui lòng điền thông tin vào link này để chúng tôi tổng hợp ý kiến: https://surveymonkey-internal.com/hr-evaluation-2026. Bắt buộc hoàn thành để nhận thưởng quý."
scam,"Subject: Xác nhận thay đổi số dư tài khoản ngân hàng Techcombank\n\nQuý khách vừa thực hiện giao dịch chuyển tiền trực tuyến với số tiền 25.000.000đ. Nếu quý khách không thực hiện giao dịch này, vui lòng truy cập ngay vào địa chỉ: https://techcombank-secure-verify.com/cancel-transaction để hủy bỏ và bảo vệ tài khoản của bạn."
scam,"Subject: Mời làm cộng tác viên xử lý đơn hàng online\n\nChào bạn, mình thấy bạn có profile rất chuyên nghiệp. Hiện bên mình đang cần tuyển thêm CTV xử lý đơn hàng Shopee/Lazada tại nhà, thu nhập 500k-1tr/ngày. Công việc đơn giản, không cần kinh nghiệm. Bạn quan tâm thì add Zalo 093xxxxxxx để trao đổi cụ thể nhé."
scam,"Subject: FW: Thông tin bổ sung hợp đồng mua bán\n\nAnh Khôi ơi, bên phía đối tác yêu cầu bổ sung thêm phụ lục hợp đồng về điều khoản bảo mật thông tin. Anh in file này ra, ký và đóng dấu rồi scan gửi lại cho em trước 4h chiều nay để kịp trình sếp duyệt nhé: https://docs.google-drive-transfer.com/file/appendix-contract.pdf."
scam,Subject: Cảnh báo thiết bị lạ truy cập vào Camera an ninh\n\nHệ thống phát hiện có 3 lượt truy cập trái phép vào Camera văn phòng từ địa chỉ IP ở nước ngoài. Bạn hãy nhấn vào đây để đổi mã PIN bảo mật cho thiết bị ngay: https://security-camera-system.net/login-verify.
scam,"Subject: Thông báo trúng voucher du lịch từ Vietravel\n\nChúc mừng bạn là khách hàng may mắn nhận được kỳ nghỉ dưỡng tại Đà Nẵng 3 ngày 2 đêm trị giá 10 triệu đồng. Để nhận phiếu quà tặng điện tử, vui lòng cung cấp thông tin cá nhân và đóng phí xuất vé tại trang web: https://travel-promo-vietnam.online/claim-reward."
scam,"Subject: Re: Đơn xin nghỉ phép tháng 6\n\nChào anh Khoi,\n\nPhòng HCNS đã duyệt đơn nghỉ phép của anh. Anh vui lòng ký xác nhận qua link dưới đây để hoàn tất thủ tục.\n\nhttps://hr.vietcompany.internal/approve-leave\n\nCảm ơn anh.\n\nNguyễn Thị Thu - HR Assistant"
scam,"Subject: Thông báo hoàn thuế TNCN năm 2025\n\nKính gửi Anh Khoi Nguyễn,\n\nCục Thuế TP.HCM thông báo Anh có số tiền hoàn thuế 8.750.000đ. Vui lòng truy cập link để nhận tiền hoàn thuế trước ngày 05/06.\n\nhttps://thue.gov.vn/hoanthue2025"
scam,"Subject: [Urgent] Yêu cầu phê duyệt thanh toán nhà cung cấp\n\nAnh Khoi,\n\nSếp nhờ anh chuyển khoản 125 triệu cho đối tác theo file đính kèm. Đây là khoản thanh toán khẩn cho dự án đang chạy.\n\nSTK: 5678901234 - Công ty TNHH Phát Triển Việt"
scam,"Subject: Cảnh báo virus trên máy tính công ty\n\nChào anh,\n\nĐội IT phát hiện máy anh đang bị nhiễm malware. Anh click link để tải tool dọn dẹp ngay.\n\nhttps://it-support.internal/clean-virus"
scam,"Subject: Mời tham gia khóa học chứng chỉ AWS miễn phí\n\nAnh Khoi thân mến,\n\nChúng tôi tặng anh voucher học AWS Cloud Practitioner trị giá 15 triệu. Đăng ký ngay trước khi hết slot.\n\nLink: aws-voucher.vn/register-khoi"
scam,"Subject: Fwd: Vấn đề khiếu nại đơn hàng #K123456\n\nChào anh Khoi,\n\nKhách hàng khiếu nại đơn hàng của anh. Bên em cần anh cung cấp lại thông tin chuyển khoản bồi thường 2.3 triệu.\n\nVui lòng chuyển vào STK mới."
scam,"Subject: Thông báo nâng cấp tài khoản ngân hàng VPBank\n\nKính gửi Quý khách,\n\nTài khoản VPBank của Anh đủ điều kiện nâng cấp Premium. Xác nhận để nhận ưu đãi lãi suất 8.5%/năm.\n\nhttps://vpbank.com.vn/upgrade-premium"
scam,"Subject: Re: File thiết kế logo dự án\n\nAnh Khoi,\n\nEm gửi file thiết kế phiên bản mới. Anh xem và chuyển khoản milestone 1 là 18 triệu theo thông tin đính kèm nhé.\n\nThanks,\nĐặng Minh Triết - Designer"
scam,"Subject: [Support] Ticket #TK-784512 - Vấn đề đăng nhập\n\nAnh Khoi,\n\nHệ thống phát hiện anh gặp lỗi đăng nhập vào nền tảng công ty. Anh reset mật khẩu qua link này.\n\nhttps://account.company.vn/reset/tk784512"
scam,"Subject: Lời mời đầu tư quỹ bất động sản sinh lời 18%/năm\n\nKính gửi Anh Khoi,\n\nCông ty Đầu tư Á Châu mời Anh tham gia quỹ BĐS dự án Quận 7. Vốn tối thiểu 500 triệu, lợi nhuận cam kết.\n\nChi tiết: https://dautuachau.vn/fund-khoi"
scam,"Subject: Thông báo cắt gas do chưa thanh toán\n\nChào anh Khoi,\n\nHóa đơn gas tháng 5 của anh chưa được thanh toán. Vui lòng chuyển 1.450.000đ trong hôm nay để tránh bị cắt.\n\nSTK: 4455667788 - Saigon Gas"
scam,"Subject: Xác nhận thông tin bảo hiểm nhân thọ Prudential\n\nAnh Khoi,\n\nHợp đồng bảo hiểm của anh cần cập nhật thông tin người thụ hưởng. Anh vui lòng xác nhận qua link.\n\nhttps://prudential.vn/update-policy"
scam,"Subject: [KHẨN] Thông báo khóa tài khoản do phát hiện giao dịch đáng ngờ\n\nHệ thống VIB phát hiện tài khoản của quý khách thực hiện giao dịch tại nước ngoài. Để bảo mật, tài khoản đã bị tạm khóa. Quý khách vui lòng truy cập https://vib-secure-verify.com/unlock để xác thực lại thông tin cá nhân và khôi phục quyền truy cập."
scam,"Subject: FW: Danh sách nhân sự tham gia tiệc Gala cuối năm\n\nChào team, HR vừa gửi danh sách tiệc cuối năm. Mọi người kiểm tra xem có sai sót tên tuổi hay chức danh không nhé. Cập nhật lại file này và gửi lại cho mình trước 17h hôm nay: https://docs-company-internal.net/hr-party-list.xlsx. Lưu ý dùng email công ty để login."
scam,"Subject: Đơn hàng Tiki của bạn bị kẹt tại kho trung chuyển\n\nChào bạn, đơn hàng #77210 của bạn đang thiếu thông tin mã vùng nhận hàng. Vui lòng bấm vào link: https://tiki-delivery-fix.com/update-info để xác nhận lại, nếu quá 12h hệ thống sẽ tự động hoàn hàng về kho và hủy đơn."
scam,"Subject: [Ưu đãi] Bạn đã nhận được mã giảm giá 50% từ Lazada\n\nChào bạn, kỷ niệm sinh nhật Lazada, bạn được tặng voucher độc quyền trị giá 500k cho mọi đơn hàng. Mã voucher: LAZADA-VIP-2026. Nhấn vào đây để áp dụng ngay tại giỏ hàng: https://lazada-voucher-promo.site/apply-now."
scam,"Subject: Thông báo cập nhật định kỳ phần mềm quản trị\n\nKính gửi bộ phận Admin, yêu cầu các máy chủ thuộc quản lý của bạn phải cập nhật bản vá bảo mật mới nhất để tránh lỗi SQL Injection. Vui lòng tải script cập nhật từ đường dẫn: https://server-patch-update.net/security-fix.sh và thực thi dưới quyền root."
scam,"Subject: Phiếu khảo sát lương tháng 5\n\nAnh ơi, em từ bộ phận Compensation & Benefit. Em gửi anh link khảo sát lương kỳ này, anh điền giúp em để bên em tổng hợp báo cáo gửi CEO nhé: https://forms-c-b-management.com/salary-survey. Anh nhớ hoàn thành trong ngày hôm nay nhé, không là trễ tiến độ báo cáo ạ."
scam,"Subject: Xác nhận thanh toán phí viễn thông FPT\n\nChào anh, hóa đơn internet tháng này của anh là 350.000đ. Do hệ thống lỗi thanh toán tự động, anh vui lòng thanh toán thủ công qua liên kết này để không bị cắt mạng: https://pay-fpt-telecom.net/payment-billing."
scam,"Subject: Thư mời tham gia dự án freelance thiết kế web\n\nChào bạn, mình thấy portfolio của bạn rất ấn tượng. Mình đang cần tìm người thiết kế giao diện web cho dự án khởi nghiệp của mình. Bạn xem qua mô tả yêu cầu công việc tại link: https://freelance-job-briefing.com/project-design. Nếu thấy phù hợp thì báo giá lại cho mình nhé."
scam,"Subject: [CẢNH BÁO] Tài khoản Google Drive sắp hết dung lượng\n\nTài khoản của bạn đã sử dụng 14.9GB/15GB dung lượng lưu trữ. Để tránh việc không thể gửi/nhận email mới, bạn cần nâng cấp gói lưu trữ ngay tại: https://google-storage-upgrade-center.com/extend-limit."
scam,"Subject: Thông báo hoàn tiền từ giao dịch lỗi\n\nChào bạn, hệ thống chúng tôi ghi nhận giao dịch của bạn tại cửa hàng vào ngày 25/05 bị trừ tiền 2 lần. Để nhận lại số tiền 200.000đ, vui lòng cung cấp thông tin thẻ tại cổng hoàn tiền tự động: https://refund-payment-center.vn/process-return."
scam,"Subject: Re: Báo cáo tài chính quý 1\n\nChào anh Khoi,\n\nEm gửi file báo cáo đã audit xong. Anh kiểm tra và chuyển khoản tạm ứng 67 triệu cho nhà thầu phụ theo thông tin mới trong file.\n\nCần hoàn tất trước 4h chiều nay.\n\nTrân trọng,\nLý Thị Ngọc - Finance Coordinator"
scam,"Subject: [Microsoft] Thông báo license Office 365 sắp hết hạn\n\nKính gửi Anh Khoi,\n\nLicense Microsoft 365 của công ty anh sắp hết hạn. Vui lòng gia hạn ngay để tránh mất dữ liệu.\n\nhttps://microsoft365.vn/renew-license"
scam,"Subject: Thông báo trúng thưởng chương trình VinMart\n\nAnh Khoi,\n\nChúc mừng Anh đã trúng giải Nhất xe máy Honda SH từ VinMart. Xác nhận thông tin để nhận thưởng.\n\nhttps://vinmart.vn/trungthuong-khoi"
scam,"Subject: Fwd: Yêu cầu ký NDA dự án mới\n\nAnh Khoi,\n\nBên đối tác gửi NDA. Anh ký xác nhận qua Docusign và gửi lại giúp em.\n\nLink: https://docusign.vn/nda-project2026"
scam,"Subject: Cảnh báo tài khoản TikTok Business bị hack\n\nChào anh,\n\nTài khoản TikTok Ads của anh có dấu hiệu bị xâm nhập. Vui lòng xác minh 2FA ngay.\n\ntiktok.com/business/verify-account"
scam,"Subject: [BEC] Chuyển khoản cho đối tác nước ngoài\n\nKính gửi anh Khoi,\n\nCEO nhờ anh chuyển gấp 450 triệu USD cho đối tác Hàn Quốc theo invoice đính kèm. Đây là khoản thanh toán hợp đồng lớn.\n\nSTK: 000999888 - KBank Korea"
scam,"Subject: Thông báo đóng phí duy trì tên miền\n\nAnh Khoi thân mến,\n\nTên miền khoicompany.vn sắp hết hạn. Vui lòng thanh toán 2.450.000đ để gia hạn.\n\nhttps://tenmien.vn/renew-khoi"
scam,"Subject: Re: Phỏng vấn vị trí Project Manager\n\nChào anh Khoi,\n\nCông ty FPT Software mời anh phỏng vấn vòng 2. Anh vui lòng điền form thông tin cá nhân qua link.\n\nhttps://fpt.vn/interview-form"
scam,"Subject: Gửi hóa đơn VAT tháng 5 từ nhà cung cấp\n\nKính gửi Quý khách,\n\nHóa đơn GTGT số HD-556677 tháng 5 đã được phát hành. Anh tải về và thanh toán theo STK mới.\n\nFile đính kèm."
scam,"Subject: [Alert] Thiết bị lạ truy cập camera nhà\n\nAnh Khoi,\n\nHệ thống camera Ezviz phát hiện thiết bị lạ truy cập. Anh đổi mật khẩu ngay qua link.\n\nezviz.vn/security-alert"
scam,"Subject: Xác nhận nhận lương thưởng tháng 5\n\nAnh Khoi,\n\nLương và thưởng tháng 5 của anh đã chuyển. Vui lòng kiểm tra và xác nhận receipt qua link nội bộ.\n\nhttps://payroll.internal/confirm-may2026"
scam,"Subject: Lời mời tham gia group đầu tư crypto\n\nKính gửi Anh Khoi,\n\nNhóm đầu tư VIP mời anh tham gia, lợi nhuận 25%/tháng. Đăng ký ngay để nhận tín hiệu.\n\nhttps://cryptogroup.vn/join-khoi"
scam,💸[HDBank] Khoản hoàn tiền 9.200.000đ của bạn đang chờ xác nhận.
spam,Bệnh viện Hồng Ngọc: Gói khám gia đình giảm 50%!
scam,Hệ thống ghi nhận bạn đủ điều kiện tham gia chương trình ưu đãi.
scam,"Tuyển cộng tác viên viết bài review sản phẩm trên Facebook, lương 200k/bài.\nNhận tiền ngay sau khi đăng bài qua tài khoản ngân hàng chính chủ."
scam,"ID người dùng duy nhất của bạn là 1172. Để loại bỏ, hãy gửi dừng lại đến 87239 Dịch vụ khách hàng 08708034412"
spam,[The Coffee House] ☕ ỨNG DỤNG MỚI - ƯU ĐÃI LỚN! Tải App The Coffee House nhận ngay voucher 50K cho lần đầu order. Tích điểm đổi đồ uống miễn phí mỗi tuần. Tải ngay!
ham,Câu chuyện đáng buồn về một người đàn ông - tuần trước là ngày của tôi.
ham,Oh ... lk tt den chúng tôi lấy một tt kết thúc tại cine lor ... dun wan yogasana oso có thể ...
spam,🎨[Nhà Sách Phương Nam] TUẦN LỄ SÁCH HOT!\n📚 Giảm đến 50% sách kỹ năng và tiểu thuyết.\n📦 Đặt mua ngay!
spam,[Routine] MUA 2 GIẢM THÊM 10%!\nƯu đãi áp dụng toàn hệ thống.\nKhám phá ngay!
ham,Vâng..He thực sự tuyệt vời..bhaji đã nói với Kallis cricketer tốt nhất sau Sachin trên thế giới :). Rất khó khăn để thoát ra.
ham,"Tôi đang ở Solihull, |"
